",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"804,""quinta normal"",""sí"",""ecuador"",""hombre"",60,""2015"",13126"
"805,""quinta normal"",""sí"",""perú"",""mujer"",1223,""2015"",13126"
"806,""quinta normal"",""no"",""perú"",""hombre"",163,""2015"",13126"
"807,""quinta normal"",""no"",""perú"",""mujer"",48,""2015"",13126"
"808,""quinta normal"",""sí"",""perú"",""hombre"",859,""2015"",13126"
"809,""quinta normal"",""sí"",""república dominicana"",""mujer"",35,""2015"",13126"
"810,""rancagua"",""no"",""venezuela"",""hombre"",47,""2015"",6101"
"811,""rancagua"",""sí"",""colombia"",""hombre"",137,""2015"",6101"
"812,""rancagua"",""sí"",""paraguay"",""mujer"",80,""2015"",6101"
"813,""rancagua"",""sí"",""perú"",""mujer"",79,""2015"",6101"
"814,""rancagua"",""sí"",""argentina"",""hombre"",79,""2015"",6101"
"815,""rancagua"",""no"",""francia"",""mujer"",47,""2015"",6101"
"816,""rancagua"",""sí"",""ecuador"",""hombre"",77,""2015"",6101"
"817,""rancagua"",""no"",""argentina"",""hombre"",80,""2015"",6101"
"818,""rancagua"",""no"",""venezuela"",""mujer"",94,""2015"",6101"
"819,""rancagua"",""no"",""paraguay"",""mujer"",85,""2015"",6101"
"820,""recoleta"",""no"",""venezuela"",""mujer"",41,""2015"",13127"
"821,""recoleta"",""sí"",""colombia"",""hombre"",123,""2015"",13127"
"822,""recoleta"",""sí"",""haití"",""hombre"",332,""2015"",13127"
"823,""recoleta"",""sí"",""argentina"",""mujer"",78,""2015"",13127"
"824,""recoleta"",""sí"",""perú"",""mujer"",1959,""2015"",13127"
"825,""recoleta"",""no"",""perú"",""hombre"",1020,""2015"",13127"
"826,""recoleta"",""no"",""venezuela"",""hombre"",82,""2015"",13127"
"827,""recoleta"",""sí"",""colombia"",""mujer"",41,""2015"",13127"
"828,""recoleta"",""no"",""colombia"",""mujer"",41,""2015"",13127"
"829,""recoleta"",""sí"",""bolivia"",""hombre"",635,""2015"",13127"
"830,""recoleta"",""sí"",""argentina"",""hombre"",62,""2015"",13127"
"831,""recoleta"",""no"",""no contesta"",""mujer"",128,""2015"",13127"
"832,""recoleta"",""sí"",""no contesta"",""mujer"",128,""2015"",13127"
"833,""recoleta"",""no"",""israel"",""hombre"",72,""2015"",13127"
"834,""recoleta"",""sí"",""haití"",""mujer"",200,""2015"",13127"
"835,""recoleta"",""sí"",""perú"",""hombre"",3052,""2015"",13127"
"836,""recoleta"",""no"",""bolivia"",""mujer"",512,""2015"",13127"
"837,""recoleta"",""no"",""república dominicana"",""hombre"",39,""2015"",13127"
"838,""recoleta"",""sí"",""república dominicana"",""mujer"",290,""2015"",13127"
"839,""recoleta"",""sí"",""bolivia"",""mujer"",384,""2015"",13127"
"840,""recoleta"",""no"",""perú"",""mujer"",2183,""2015"",13127"
"841,""recoleta"",""sí"",""no contesta"",""hombre"",128,""2015"",13127"
"842,""renca"",""no"",""portugal"",""hombre"",126,""2015"",13128"
"843,""renca"",""no"",""perú"",""mujer"",273,""2015"",13128"
"844,""renca"",""sí"",""perú"",""mujer"",986,""2015"",13128"
"845,""renca"",""sí"",""colombia"",""mujer"",308,""2015"",13128"
"846,""renca"",""sí"",""perú"",""hombre"",1717,""2015"",13128"
"847,""renca"",""no"",""colombia"",""hombre"",187,""2015"",13128"
"848,""renca"",""no"",""perú"",""hombre"",114,""2015"",13128"
"849,""renca"",""sí"",""argentina"",""hombre"",304,""2015"",13128"
"850,""renca"",""sí"",""colombia"",""hombre"",242,""2015"",13128"
"851,""requínoa"",""no"",""francia"",""mujer"",10,""2015"",6116"
"852,""requínoa"",""sí"",""argentina"",""mujer"",14,""2015"",6116"
"853,""requínoa"",""sí"",""argentina"",""hombre"",14,""2015"",6116"
"854,""río negro"",""sí"",""angola"",""mujer"",24,""2015"",10305"
"855,""río negro"",""no"",""españa"",""mujer"",24,""2015"",10305"
"856,""san antonio"",""no"",""egipto"",""mujer"",33,""2015"",5601"
"857,""san antonio"",""no"",""israel"",""hombre"",33,""2015"",5601"
"858,""san antonio"",""sí"",""israel"",""mujer"",33,""2015"",5601"
"859,""san antonio"",""sí"",""méxico"",""mujer"",50,""2015"",5601"
"860,""san antonio"",""no"",""australia"",""mujer"",42,""2015"",5601"
"861,""san antonio"",""sí"",""bolivia"",""mujer"",15,""2015"",5601"
"862,""san bernardo"",""sí"",""ecuador"",""hombre"",220,""2015"",13401"
"863,""san bernardo"",""no"",""argentina"",""hombre"",220,""2015"",13401"
"864,""san bernardo"",""sí"",""ecuador"",""mujer"",220,""2015"",13401"
"865,""san bernardo"",""sí"",""haití"",""mujer"",160,""2015"",13401"
"866,""san bernardo"",""sí"",""haití"",""hombre"",320,""2015"",13401"
"867,""san bernardo"",""no"",""ecuador"",""mujer"",220,""2015"",13401"
"868,""san felipe"",""sí"",""haití"",""mujer"",25,""2015"",5701"
"869,""san felipe"",""no"",""estados unidos"",""hombre"",25,""2015"",5701"
"870,""san felipe"",""sí"",""ecuador"",""hombre"",88,""2015"",5701"
"871,""san felipe"",""no"",""argentina"",""mujer"",85,""2015"",5701"
"872,""san felipe"",""sí"",""venezuela"",""hombre"",29,""2015"",5701"
"873,""san felipe"",""no"",""perú"",""hombre"",57,""2015"",5701"
"874,""san felipe"",""sí"",""perú"",""hombre"",57,""2015"",5701"
"875,""san felipe"",""no"",""ecuador"",""mujer"",44,""2015"",5701"
"876,""san felipe"",""sí"",""perú"",""mujer"",50,""2015"",5701"
"877,""san felipe"",""no"",""reino unido"",""mujer"",45,""2015"",5701"
"878,""san felipe"",""sí"",""italia"",""hombre"",45,""2015"",5701"
"879,""san felipe"",""sí"",""argentina"",""mujer"",45,""2015"",5701"
"880,""san fernando"",""no"",""estados unidos"",""hombre"",62,""2015"",6301"
"881,""san fernando"",""no"",""perú"",""hombre"",52,""2015"",6301"
"882,""san fernando"",""sí"",""colombia"",""mujer"",48,""2015"",6301"
"883,""san fernando"",""sí"",""colombia"",""hombre"",86,""2015"",6301"
"884,""san fernando"",""sí"",""perú"",""mujer"",52,""2015"",6301"
"885,""san javier"",""no"",""argentina"",""mujer"",129,""2015"",7406"
"886,""san miguel"",""sí"",""perú"",""mujer"",291,""2015"",13130"
"887,""san miguel"",""no"",""siria"",""mujer"",12,""2015"",13130"
"888,""san miguel"",""sí"",""venezuela"",""hombre"",40,""2015"",13130"
"889,""san miguel"",""no"",""china"",""hombre"",25,""2015"",13130"
"890,""san miguel"",""no"",""república dominicana"",""mujer"",36,""2015"",13130"
"891,""san miguel"",""sí"",""australia"",""mujer"",28,""2015"",13130"
"892,""san miguel"",""no"",""suecia"",""mujer"",81,""2015"",13130"
"893,""san miguel"",""no"",""ecuador"",""hombre"",24,""2015"",13130"
"894,""san miguel"",""no"",""colombia"",""mujer"",81,""2015"",13130"
"895,""san miguel"",""no"",""españa"",""mujer"",86,""2015"",13130"
"896,""san miguel"",""sí"",""colombia"",""hombre"",192,""2015"",13130"
"897,""san miguel"",""no"",""perú"",""mujer"",255,""2015"",13130"
"898,""san miguel"",""sí"",""brasil"",""hombre"",163,""2015"",13130"
"899,""san miguel"",""sí"",""colombia"",""mujer"",40,""2015"",13130"
"900,""san miguel"",""sí"",""españa"",""mujer"",50,""2015"",13130"
"901,""san miguel"",""no"",""brasil"",""mujer"",81,""2015"",13130"
"902,""san miguel"",""sí"",""ecuador"",""mujer"",87,""2015"",13130"
"903,""san miguel"",""no"",""ecuador"",""mujer"",214,""2015"",13130"
"904,""san miguel"",""sí"",""argentina"",""mujer"",40,""2015"",13130"
"905,""san miguel"",""no"",""argentina"",""mujer"",74,""2015"",13130"
"906,""san miguel"",""no"",""australia"",""mujer"",25,""2015"",13130"
"907,""san miguel"",""no"",""perú"",""hombre"",24,""2015"",13130"
"908,""san miguel"",""no"",""méxico"",""mujer"",63,""2015"",13130"
"909,""san miguel"",""sí"",""bélgica"",""hombre"",23,""2015"",13130"
"910,""san miguel"",""sí"",""ecuador"",""hombre"",87,""2015"",13130"
"911,""san miguel"",""sí"",""perú"",""hombre"",542,""2015"",13130"
"912,""san pedro de la paz"",""no"",""ecuador"",""mujer"",61,""2015"",8108"
"913,""san pedro de la paz"",""sí"",""colombia"",""mujer"",61,""2015"",8108"
"914,""san vicente"",""sí"",""francia"",""hombre"",41,""2015"",6117"
"915,""santa cruz"",""sí"",""méxico"",""mujer"",51,""2015"",6310"
"916,""santa cruz"",""sí"",""alemania"",""mujer"",80,""2015"",6310"
"917,""santa cruz"",""sí"",""perú"",""hombre"",20,""2015"",6310"
"918,""santa cruz"",""no"",""perú"",""mujer"",20,""2015"",6310"
"919,""santa cruz"",""sí"",""reino unido"",""hombre"",51,""2015"",6310"
"920,""santiago"",""no"",""perú"",""mujer"",832,""2015"",13101"
"921,""santiago"",""sí"",""brasil"",""hombre"",614,""2015"",13101"
"922,""santiago"",""no"",""china"",""mujer"",37,""2015"",13101"
"923,""santiago"",""sí"",""perú"",""mujer"",2940,""2015"",13101"
"924,""santiago"",""sí"",""venezuela"",""mujer"",1089,""2015"",13101"
"925,""santiago"",""no"",""colombia"",""mujer"",1454,""2015"",13101"
"926,""santiago"",""no"",""venezuela"",""hombre"",63,""2015"",13101"
"927,""santiago"",""no"",""hungría"",""hombre"",50,""2015"",13101"
"928,""santiago"",""sí"",""india"",""hombre"",40,""2015"",13101"
"929,""santiago"",""sí"",""perú"",""hombre"",4697,""2015"",13101"
"930,""santiago"",""sí"",""australia"",""hombre"",500,""2015"",13101"
"931,""santiago"",""sí"",""argentina"",""mujer"",350,""2015"",13101"
"932,""santiago"",""no"",""reino unido"",""mujer"",95,""2015"",13101"
"933,""santiago"",""no"",""argentina"",""mujer"",40,""2015"",13101"
"934,""santiago"",""no"",""brasil"",""mujer"",50,""2015"",13101"
"935,""santiago"",""sí"",""canadá"",""mujer"",50,""2015"",13101"
"936,""santiago"",""no"",""perú"",""hombre"",745,""2015"",13101"
"937,""santiago"",""sí"",""estados unidos"",""mujer"",36,""2015"",13101"
"938,""santiago"",""sí"",""bolivia"",""hombre"",228,""2015"",13101"
"939,""santiago"",""sí"",""ecuador"",""mujer"",500,""2015"",13101"
"940,""santiago"",""no"",""ecuador"",""mujer"",757,""2015"",13101"
"941,""santiago"",""no"",""ecuador"",""hombre"",1000,""2015"",13101"
"942,""santiago"",""no"",""haití"",""mujer"",40,""2015"",13101"
"943,""santiago"",""no"",""república dominicana"",""mujer"",78,""2015"",13101"
"944,""santiago"",""sí"",""argentina"",""hombre"",282,""2015"",13101"
"945,""santiago"",""no"",""colombia"",""hombre"",699,""2015"",13101"
"946,""santiago"",""sí"",""cuba"",""hombre"",174,""2015"",13101"
"947,""santiago"",""sí"",""república dominicana"",""mujer"",471,""2015"",13101"
"948,""santiago"",""sí"",""república dominicana"",""hombre"",210,""2015"",13101"
"949,""santiago"",""sí"",""brasil"",""mujer"",125,""2015"",13101"
"950,""santiago"",""sí"",""china"",""mujer"",37,""2015"",13101"
"951,""santiago"",""sí"",""francia"",""mujer"",63,""2015"",13101"
"952,""santiago"",""sí"",""china"",""hombre"",185,""2015"",13101"
"953,""santiago"",""sí"",""bolivia"",""mujer"",70,""2015"",13101"
"954,""santiago"",""no"",""república dominicana"",""hombre"",32,""2015"",13101"
"955,""santiago"",""sí"",""venezuela"",""hombre"",1236,""2015"",13101"
"956,""santiago"",""sí"",""colombia"",""hombre"",2562,""2015"",13101"
"957,""santiago"",""no"",""uruguay"",""hombre"",141,""2015"",13101"
"958,""santiago"",""sí"",""colombia"",""mujer"",2238,""2015"",13101"
"959,""santiago"",""sí"",""ecuador"",""hombre"",1271,""2015"",13101"
"960,""santiago"",""no"",""venezuela"",""mujer"",63,""2015"",13101"
"961,""santiago"",""sí"",""haití"",""hombre"",196,""2015"",13101"
"962,""talagante"",""sí"",""haití"",""mujer"",138,""2015"",13601"
"963,""talagante"",""no"",""brasil"",""mujer"",96,""2015"",13601"
"964,""talca"",""sí"",""cuba"",""hombre"",165,""2015"",7101"
"965,""talca"",""no"",""españa"",""hombre"",54,""2015"",7101"
"966,""talca"",""no"",""argentina"",""mujer"",45,""2015"",7101"
"967,""talca"",""sí"",""china"",""hombre"",62,""2015"",7101"
"968,""temuco"",""sí"",""estados unidos"",""mujer"",269,""2015"",9101"
"969,""temuco"",""sí"",""uruguay"",""mujer"",89,""2015"",9101"
"970,""temuco"",""no"",""perú"",""hombre"",89,""2015"",9101"
"971,""temuco"",""sí"",""perú"",""mujer"",77,""2015"",9101"
"972,""temuco"",""no"",""italia"",""hombre"",153,""2015"",9101"
"973,""temuco"",""sí"",""argentina"",""hombre"",96,""2015"",9101"
"974,""temuco"",""no"",""argentina"",""mujer"",96,""2015"",9101"
"975,""temuco"",""sí"",""perú"",""hombre"",77,""2015"",9101"
"976,""temuco"",""sí"",""ecuador"",""mujer"",93,""2015"",9101"
"977,""temuco"",""no"",""ecuador"",""mujer"",93,""2015"",9101"
"978,""temuco"",""sí"",""brasil"",""hombre"",590,""2015"",9101"
"979,""temuco"",""no"",""italia"",""mujer"",153,""2015"",9101"
"980,""temuco"",""no"",""perú"",""mujer"",77,""2015"",9101"
"981,""temuco"",""no"",""argentina"",""hombre"",87,""2015"",9101"
"982,""temuco"",""sí"",""brasil"",""mujer"",590,""2015"",9101"
"983,""temuco"",""no"",""españa"",""hombre"",306,""2015"",9101"
"984,""temuco"",""sí"",""ecuador"",""hombre"",93,""2015"",9101"
"985,""temuco"",""sí"",""argentina"",""mujer"",187,""2015"",9101"
"986,""teno"",""sí"",""brasil"",""hombre"",39,""2015"",7308"
"987,""tocopilla"",""sí"",""colombia"",""hombre"",27,""2015"",2301"
"988,""tocopilla"",""sí"",""colombia"",""mujer"",2,""2015"",2301"
"989,""tocopilla"",""no"",""perú"",""mujer"",2,""2015"",2301"
"990,""tocopilla"",""sí"",""perú"",""hombre"",2,""2015"",2301"
"991,""tocopilla"",""no"",""colombia"",""mujer"",2,""2015"",2301"
"992,""valdivia"",""sí"",""reino unido"",""mujer"",44,""2015"",14101"
"993,""valdivia"",""sí"",""brasil"",""mujer"",132,""2015"",14101"
"994,""valdivia"",""sí"",""francia"",""hombre"",44,""2015"",14101"
"995,""valdivia"",""sí"",""argentina"",""hombre"",240,""2015"",14101"
"996,""valdivia"",""no"",""república checa"",""mujer"",59,""2015"",14101"
"997,""valdivia"",""sí"",""venezuela"",""hombre"",126,""2015"",14101"
"998,""valdivia"",""sí"",""nueva zelanda"",""hombre"",132,""2015"",14101"
"999,""valdivia"",""sí"",""argentina"",""mujer"",131,""2015"",14101"
"1000,""valdivia"",""no"",""colombia"",""mujer"",132,""2015"",14101"
"1001,""valdivia"",""no"",""argentina"",""hombre"",74,""2015"",14101"
"1002,""valdivia"",""sí"",""brasil"",""hombre"",132,""2015"",14101"
"1003,""valdivia"",""sí"",""polonia"",""mujer"",132,""2015"",14101"
"1004,""vallenar"",""no"",""costa rica"",""mujer"",32,""2015"",3301"
"1005,""vallenar"",""sí"",""colombia"",""hombre"",108,""2015"",3301"
"1006,""vallenar"",""no"",""colombia"",""mujer"",75,""2015"",3301"
"1007,""vallenar"",""sí"",""argentina"",""mujer"",13,""2015"",3301"
"1008,""vallenar"",""no"",""argentina"",""mujer"",51,""2015"",3301"
"1009,""valparaíso"",""sí"",""italia"",""mujer"",225,""2015"",5101"
"1010,""valparaíso"",""sí"",""argentina"",""mujer"",163,""2015"",5101"
"1011,""valparaíso"",""sí"",""argentina"",""hombre"",203,""2015"",5101"
"1012,""valparaíso"",""sí"",""brasil"",""mujer"",80,""2015"",5101"
"1013,""valparaíso"",""no"",""estados unidos"",""hombre"",40,""2015"",5101"
"1014,""valparaíso"",""no"",""colombia"",""mujer"",8,""2015"",5101"
"1015,""valparaíso"",""no"",""francia"",""mujer"",192,""2015"",5101"
"1016,""valparaíso"",""sí"",""perú"",""hombre"",182,""2015"",5101"
"1017,""valparaíso"",""no"",""bolivia"",""hombre"",81,""2015"",5101"
"1018,""valparaíso"",""sí"",""suecia"",""mujer"",80,""2015"",5101"
"1019,""valparaíso"",""sí"",""cuba"",""mujer"",63,""2015"",5101"
"1020,""valparaíso"",""sí"",""perú"",""mujer"",41,""2015"",5101"
"1021,""valparaíso"",""no"",""perú"",""mujer"",208,""2015"",5101"
"1022,""valparaíso"",""no"",""cuba"",""hombre"",85,""2015"",5101"
"1023,""valparaíso"",""no"",""costa rica"",""mujer"",246,""2015"",5101"
"1024,""valparaíso"",""sí"",""cuba"",""hombre"",63,""2015"",5101"
"1025,""valparaíso"",""sí"",""italia"",""hombre"",145,""2015"",5101"
"1026,""victoria"",""sí"",""paraguay"",""mujer"",26,""2015"",9211"
"1027,""victoria"",""sí"",""colombia"",""mujer"",15,""2015"",9211"
"1028,""vicuña"",""sí"",""bolivia"",""hombre"",65,""2015"",4106"
"1029,""vicuña"",""no"",""bolivia"",""mujer"",65,""2015"",4106"
"1030,""vicuña"",""sí"",""perú"",""hombre"",38,""2015"",4106"
"1031,""vicuña"",""no"",""perú"",""mujer"",38,""2015"",4106"
"1032,""vicuña"",""no"",""perú"",""hombre"",38,""2015"",4106"
"1033,""villa alemana"",""no"",""méxico"",""mujer"",129,""2015"",5804"
"1034,""villa alemana"",""sí"",""el salvador"",""hombre"",110,""2015"",5804"
"1035,""villa alemana"",""no"",""ecuador"",""mujer"",129,""2015"",5804"
"1036,""villa alemana"",""no"",""argentina"",""hombre"",139,""2015"",5804"
"1037,""villa alemana"",""sí"",""argentina"",""hombre"",53,""2015"",5804"
"1038,""villa alemana"",""sí"",""argentina"",""mujer"",94,""2015"",5804"
"1039,""villa alemana"",""no"",""estados unidos"",""hombre"",80,""2015"",5804"
"1040,""villa alemana"",""no"",""suecia"",""hombre"",104,""2015"",5804"
"1041,""villarrica"",""no"",""eslovaquia"",""hombre"",30,""2015"",9120"
"1042,""villarrica"",""no"",""colombia"",""mujer"",73,""2015"",9120"
"1043,""villarrica"",""sí"",""españa"",""mujer"",47,""2015"",9120"
"1044,""villarrica"",""sí"",""argentina"",""hombre"",39,""2015"",9120"
"1045,""villarrica"",""no"",""panamá"",""hombre"",22,""2015"",9120"
"1046,""villarrica"",""sí"",""perú"",""hombre"",18,""2015"",9120"
"1047,""villarrica"",""no"",""argentina"",""mujer"",64,""2015"",9120"
"1048,""villarrica"",""no"",""australia"",""hombre"",36,""2015"",9120"
"1049,""viña del mar"",""sí"",""españa"",""hombre"",181,""2015"",5109"
"1050,""viña del mar"",""sí"",""francia"",""hombre"",45,""2015"",5109"
"1051,""viña del mar"",""sí"",""perú"",""hombre"",269,""2015"",5109"
"1052,""viña del mar"",""sí"",""españa"",""mujer"",105,""2015"",5109"
"1053,""viña del mar"",""sí"",""argentina"",""mujer"",248,""2015"",5109"
"1054,""viña del mar"",""no"",""italia"",""mujer"",58,""2015"",5109"
"1055,""viña del mar"",""sí"",""italia"",""mujer"",58,""2015"",5109"
"1056,""viña del mar"",""sí"",""ecuador"",""mujer"",411,""2015"",5109"
"1057,""viña del mar"",""no"",""argentina"",""mujer"",97,""2015"",5109"
"1058,""viña del mar"",""sí"",""italia"",""hombre"",175,""2015"",5109"
"1059,""viña del mar"",""sí"",""colombia"",""hombre"",57,""2015"",5109"
"1060,""viña del mar"",""sí"",""argentina"",""hombre"",180,""2015"",5109"
"1061,""viña del mar"",""no"",""españa"",""hombre"",62,""2015"",5109"
"1062,""viña del mar"",""no"",""reino unido"",""mujer"",107,""2015"",5109"
"1063,""viña del mar"",""sí"",""colombia"",""mujer"",180,""2015"",5109"
"1064,""viña del mar"",""sí"",""perú"",""mujer"",165,""2015"",5109"
"1065,""viña del mar"",""sí"",""holanda"",""mujer"",45,""2015"",5109"
"1066,""viña del mar"",""sí"",""bolivia"",""hombre"",62,""2015"",5109"
"1067,""viña del mar"",""no"",""colombia"",""mujer"",132,""2015"",5109"
"1068,""viña del mar"",""no"",""ecuador"",""mujer"",54,""2015"",5109"
"1069,""viña del mar"",""sí"",""estados unidos"",""hombre"",106,""2015"",5109"
"1070,""viña del mar"",""no"",""argentina"",""hombre"",194,""2015"",5109"
